company,notes,contacts
ACRP LTD.,"Address: 79 Shoemaker Street, Kitchener, Ontario, N2E 3B5
Website: https://www.acrpautomation.com
Phone: 519-886-0899
Email: not found
End product/capability: Industrial & Automotive - Tools & Equipment | Automated Clip Insertion | Ultrasonic Welding Cell
Proof: ACRP is your full-service engineering and automation supplier with in-house design and engineering expertise. Since 2001, ACRP has been building custom designed automation systems, with a large proportion of repeat business from Tier 1 and Tier 2 automotive plastics and metal manufacturing compan...
Ontario Made source: https://supportontariomade.ca/manufacturer/kitchener/acrp-ltd
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Discovery Precision Machining Inc.,"Address: 701 Rowntree Dairy Road, Woodbridge, Ontario, Canada, L4L 5T9
Website: https://discovery-precision.com
Phone: (905) 264-8537
Email: not found
End product/capability: Industrial & Automotive - Tools & Equipment | Precision CNC Manufacturing Services | 701 Rowntree Dairy Road
Ontario Made source: https://supportontariomade.ca/manufacturer/woodbridge/discovery-precision-machining-inc
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Robot Welding Services,"Address: 2697 Durante Way, Unit 1, Milton, Ontario, L9T5H5
Website: http://www.robotweldingservices.com
Phone: 6479220496
Email: not found
End product/capability: Industrial & Automotive - Tools & Equipment | Custom Welded Machined Parts
Proof: Robot Welding Services Inc. At Robot Welding Services Inc., we provide manufacturers and fabricators across Ontario with precision robotic welding and metal fabrication services . From prototypes to production runs, our team delivers consistent quality, repeatable results, and fast turnaround on ...
Ontario Made source: https://supportontariomade.ca/manufacturer/milton/robot-welding-services
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Assembly Automation Alternatives Inc.,"Address: 4-7550 Highway 27, Woodbridge, Ontario, Canada, L4H 0S2
Website: https://auto-alt.com
Phone: 905-605-9200
Email: not found
End product/capability: Construction & Renovations - Commercial | Industrial & Automotive - Oils & Fluids | Industrial & Automotive - Printing & Design | Industrial & Automotive - Tools & Equipment | Technology - Electronics | Automated PV module Edge Sealing System | Hot melt pumping System | PV Module framing system | Laser processing systems | PV module JB Potting Systems
Ontario Made source: https://supportontariomade.ca/manufacturer/woodbridge/assembly-automation-alternatives-inc
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
S.R.Graphics Ltd,"Address: Concord, Ontario, Canada, L4K 3Z8
Website: http://www.srgraphics.com
Phone: 416 798 7155
Email: not found
End product/capability: Construction & Renovations - Commercial | Health & Medical - PPE | Industrial & Automotive - Printing & Design | Floor Graphics | Face Shield
Ontario Made source: https://supportontariomade.ca/manufacturer/concord/srgraphics-ltd
CRM: not found in current CRM name baseline",Brian Payne Sr. - President | LinkedIn: https://ca.linkedin.com/in/brian-payne-sr-12b74026
Canadiana Flag,"Address: 153 Bridgeland Avenue, Toronto, Ontario, Canada, M6A 2Y6
Website: https://canadianaflag.ca
Phone: 16153735462
Email: not found
End product/capability: Home, Office & Garden - Garden & Outdoor | Industrial & Automotive - Printing & Design | Canada Flag | Provincial Flag | Canadian Made Custom Flags | Paper Flags
Ontario Made source: https://supportontariomade.ca/manufacturer/toronto/canadiana-flag
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Durham Label,"Address: 799 Farewell street 1, Oshawa, Ontario, Canada, L1H 6N4
Website: https://www.durhamlabel.com
Phone: (905)-576-4000
Email: not found
End product/capability: Industrial & Automotive - Printing & Design | Custom Die-Cut Stickers | Labels | Product Labels | Retail Labels | high-quality labels & print materials for a variety of applications and needs
Ontario Made source: https://supportontariomade.ca/manufacturer/oshawa/durham-label
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
The Tessera Group,"Address: 21 State Crown Blvd., Scarborough, Ontario, M1V 4B1
Website: https://thetesseragroup.com
Phone: 416-261-6499
Email: not found
End product/capability: Industrial & Automotive - Tools & Equipment | 24V DC Roller Conveyors | BlueLine Hygienic Conveyors | Mezzanines & Platforms | Press Brake Control | Press Safety Control | Safety Device Interface | Stainless Steel Conveyors | Stamping Press | Dairy
Proof: Based in Toronto, Ontario, Tessera Group is a collective of specialized brands united by a shared commitment to packaging automation excellence. Our cross-functional team brings decades of hands-on experience across diverse industries, offering turnkey solutions that simplify complex packaging ch...
Ontario Made source: https://supportontariomade.ca/manufacturer/scarborough/the-tessera-group
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Fearless Cookin',"Address: NA, Kitchener, Ontario, N2R 0G5
Website: https://fearlesscookin.com
Phone: 5195890351
Email: not found
End product/capability: Food & Beverage - Spices, Herbs & Seasonings | Casa Portuguesa - Spice Blend | La Cubana - Spice Blend | Rub-A-Dub-Dub - Spice Blend | Salt 'n' Herbs - Spice blend | Taco Loco - Spice Blend | Soups, veggies, seafood, poultry.
Proof: All Organic and Preservative-Free Spice blends. Our favourite ""f-word"" is FLAVOUR! Our blends are small-batch and created to make cookin' easy while taking the thought out of what spices go well together! All you need to do is season and cook, and you've got a meal that will have people wondering...
Ontario Made source: https://supportontariomade.ca/manufacturer/kitchener/fearless-cookin
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Balatibala Plant-Based Foods,"Address: 26-755 Queensway E , Mississauga, Ontario, Canada, L4Y4C5
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Food processing / licensed food handling
Proof: Listed in the CFIA Safe Food for Canadians licence registry under SCA Strategies Inc..
CFIA source: licence 6NDH7P48; legal name SCA Strategies Inc.; 26-755 Queensway E , Mississauga, Ontario, Canada, L4Y4C5
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
Bank Brothers Sustainable Ingredients and Hubbert's Industries,"Address: 109 East Dr , Brampton, Ontario, Canada, L6T1B6
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Food processing / licensed food handling
Proof: Listed in the CFIA Safe Food for Canadians licence registry under Hubbert's Processing and Sales Inc..
CFIA source: licence 9HPV4T74; legal name Hubbert's Processing and Sales Inc.; 109 East Dr , Brampton, Ontario, Canada, L6T1B6
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
CHIYUE FOOD PROCESSING INC.,"Address: 7-161 Connie Cres , Concord, Ontario, Canada, L4K1L3
Phone: not found
Email: not found
End product/capability: Food & Beverage - CFIA licensed | Food processing / licensed food handling
Proof: Listed in the CFIA Safe Food for Canadians licence registry under CHIYUE FOOD PROCESSING INC..
CFIA source: licence 6PJ4XRF3; legal name CHIYUE FOOD PROCESSING INC.; 7-161 Connie Cres , Concord, Ontario, Canada, L4K1L3
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
NIKO Cosmetics,"Address: 2-2560 Morningside Ave, Scarborough, Ontario, M1X 0E2
Website: https://www.niko.com
Phone: 1 888 388 6456
Email: not found
End product/capability: Beauty & Personal Care - Skin Care | ORGANIC TRI-MAPLE LEAF ELASTIN BOOST CREAM | ORGANIC TRI-MAPLE LEAF ELASTIN COMPLEX SERUM | ORGANIC TRI-MAPLE LEAF PRO-ELASTIN CLEANSER | natural and certified organic products using ethically sourced ingredients , with some even being wild-harvested from ou
Proof: NIKO Cosmetics is a proudly, 100% owned and operated, Canadian business. We specialize in Natural and Certified Organic and Medi-Organic skincare products for face, body and hair. We ethically wild harvest many of our own ingredients from our very own certified organic 40-acre Canadian estate loc...
Ontario Made source: https://supportontariomade.ca/manufacturer/scarborough/niko-cosmetics
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
United Chargers,"Address: 25 Pollard St "", Richmond Hill, Ontario, Canada, L4B 1A8
Website: https://www.unitedchargers.com
Phone: 1-833-971-8118
Email: not found
End product/capability: Industrial & Automotive - Tools & Equipment | Industrial & Automotive - Vehicles | EasyEvPlug – J17720 | Grizzl-E - Classic | Grizzl-E - Duo | Grizzl-E - Smart | Grizzl-E – Avalanche Edition | Grizzl-E – Classic | Grizzl-E – Extreme Edition | Grizzl-E Smart - Commercial Bundle
Ontario Made source: https://supportontariomade.ca/manufacturer/richmond-hill/united-chargers
CRM: not found in current CRM name baseline",No named operations/production/maintenance contact found in Codex public research pass.
